Case name,Qall or Qirr  (kW) , +/- err bar (kW),Qshad+Qcos (kW),+/- err_Qshad+Qcos (kW),Qblock (kW),+/- err_Qblock (kW),Qhst_abs (kW),+/- err_Qhst_abs (kW),Qspil (kW),+/- err_Qspil (kW),Qrefl (kW),+/- err_Qrefl (kW),Qabs (kW),+/- err_Qabs (kW),Average flux (kW/m2),+/- err_average (kW),Peak flux (kW/m2),+/- err_Peak (kW/flux)
B_2.1.2,81.20044072915876,0.0031809158245114173,-,-,-,-,-,-,24.67726549594454,0.05831427243259813,0.0,0.0,56.52317523321415,0.056577710083544626,1.1776054609289335,0.001243482428710533,2.231539192269024,0.030738387494789784
B_2.1.3,79.90100900739557,0.005869413575110192,-,-,-,-,-,-,29.083020632576364,0.05523822609590497,0.0,0.0,50.81718837481934,0.0597066680086208,1.0586758646815833,0.001215758285318673,1.75669563366339,0.02430461133460948
B_2.1.4,80.56393199337728,0.01392370666940051,-,-,-,-,-,-,18.393924971787424,0.06737252326990953,0.0,0.0,62.17040702158994,0.06002083596041973,1.2952709426101428,0.0013433707330578232,2.8709091244338856,0.02671548815205887
B_2.2.1,76.3417041129005,0.03736706603943895,-,-,-,-,-,-,0.49819285321635,0.02775410414909541,0.0,0.0,75.84331145966408,0.044819017573357565,1.580064205167941,0.0009302610728136528,8.789994270270286,0.05544412798819302
B_2.2.2,64.0369558065606,0.010207873922976533,-,-,-,-,-,-,18.71461596102075,0.04971090108364261,0.0,0.0,45.32313984553995,0.056272491983526636,0.944201861508293,0.001122886448561524,1.7116358293736735,0.01965085368946793
B_2.2.3,83.8177716929595,0.008335046276383989,-,-,-,-,-,-,30.57681772020361,0.061508497095698146,0.0,0.0,53.240553972775956,0.061309562781624166,1.1092145282127448,0.001343289292797519,1.8316733222400934,0.025514364724692158
B_2.2.4,31.072192905948203,0.008444361203547428,-,-,-,-,-,-,19.657508367370628,0.009748977835682586,0.0,0.0,11.41448453857734,0.005947406258270895,0.23781845966373835,0.00014062619053792152,0.2805585787066806,0.009679872954873223
C_1.1,52200.0,0.0,8229.340640882525,3.2460193202225582,563.8077910849606,5.0362674173667665,2197.657148935872,2.7436573740480616,4705.2167190762475,9.592992575534064,3649.334430084139,2.865786750504544,32857.133024975905,7.209712463521745,684.430510851572,0.11458351904755029,4180.032267471349,25.217351588957367
C_1.2,52200.0,0.0,19709.62101308193,39.039724110156605,360.989174409918,30.636029825876246,1625.0427605459033,2.0778044906877886,5069.23278309061,31.316980465934755,2543.498302001495,3.21482135572361,22894.276718813395,22.355401883997185,476.9236589480038,0.4074535109721011,1747.956359253636,33.41928078256066
C_2.1,52200.0,0.0,8230.721310943372,8.513398196806172,564.0768984593927,5.6530213066424215,2198.1289390828256,1.3599925977229474,4942.455444708891,32.75849772503441,3626.7913007206457,4.4836892865806455,32640.173957251565,24.11550653621408,679.9929747372851,0.5922580943570621,4212.292107558575,15.769783044754012
C_2.2,52200.0,0.0,19706.928546470088,38.168125328199544,362.7723914724098,30.763140332033437,1625.3263564764945,2.5028308345876855,5226.103443458308,36.78523894820099,2527.962538113042,4.617735490940423,22753.598842817293,35.341165185516125,473.96921975309823,0.6510642828919705,1756.5236174096542,42.88299649472358
