Loc. X,Loc. Y,Loc. Z,focal length
[m],[m],[m],[m]
128.483457,476.299603,0,497.205501317743
-128.483457,476.299603,0,497.205501317743
304.930591,287.470947,0,423.634524911139
-304.930591,287.470947,0,423.634524911139
98.353395,21.341253,0,118.206765405522
-98.353395,21.341253,0,118.206765405522
191.559788,501.574105,0,540.477321619655
-191.559788,501.574105,0,540.477321619655
136.347797,37.337598,0,154.365857530617
-136.347797,37.337598,0,154.365857530617
171.076343,508.924965,0,540.477321572797
-171.076343,508.924965,0,540.477321572797
86.675033,529.867128,0,540.477321152812
-86.675033,529.867128,0,540.477321152812
284.852597,356.337522,0,460.392692820754
-284.852597,356.337522,0,460.392692820754
65.596493,94.194103,0,130.458533388482
-65.596493,94.194103,0,130.458533388482
65.131182,532.944335,0,540.477321519885
-65.131182,532.944335,0,540.477321519885
129.300373,521.107617,0,540.477321405217
-129.300373,521.107617,0,540.477321405217
284.627611,213.487668,0,361.156283804734
-284.627611,213.487668,0,361.156283804734
186.207651,71.786589,0,208.975126872058
-186.207651,71.786589,0,208.975126872058
108.076483,525.919394,0,540.477321599137
-108.076483,525.919394,0,540.477321599137
272.514754,183.995051,0,334.607934664098
-272.514754,183.995051,0,334.607934664098
288.302592,304.144416,0,423.634524487676
-288.302592,304.144416,0,423.634524487676
272.187143,229.137558,0,361.1562837619
-272.187143,229.137558,0,361.1562837619
264.388209,371.774537,0,460.392692622062
-264.388209,371.774537,0,460.392692622062
256.560793,158.995541,0,308.134747412024
-256.560793,158.995541,0,308.134747412024
43.480327,535.145958,0,540.47732163317
-43.480327,535.145958,0,540.47732163317
21.758037,536.46838,0,540.47732136873
-21.758037,536.46838,0,540.47732136873
0,536.909429,0,540.477321401283
217.410638,134.733455,0,263.181476194287
-217.410638,134.733455,0,263.181476194287
203.688812,449.310782,0,497.205501734869
-203.688812,449.310782,0,497.205501734869
197.371292,88.765154,0,225.119256107497
-197.371292,88.765154,0,225.119256107497
289.264399,257.742325,0,392.363350257433
-289.264399,257.742325,0,392.363350257433
78.808223,17.100235,0,101.720961701475
-78.808223,17.100235,0,101.720961701475
270.764331,319.857606,0,423.6345253375
-270.764331,319.857606,0,423.6345253375
242.542371,137.49403,0,285.614092817463
-242.542371,137.49403,0,285.614092817463
147.679761,470.701603,0,497.205501654785
-147.679761,470.701603,0,497.205501654785
209.706535,108.459348,0,244.0988754384
-209.706535,108.459348,0,244.0988754384
221.02241,399.082104,0,460.392692660597
-221.02241,399.082104,0,460.392692660597
144.261728,53.345494,0,165.834821119239
-144.261728,53.345494,0,165.834821119239
252.371181,334.560903,0,423.634525051382
-252.371181,334.560903,0,423.634525051382
89.02034,344.478215,0,361.15628409776
-89.02034,344.478215,0,361.15628409776
198.257917,410.866438,0,460.392692739564
-198.257917,410.866438,0,460.392692739564
274.330924,273.58279,0,392.363350539876
-274.330924,273.58279,0,392.363350539876
243.089064,386.037742,0,460.392692475516
-243.089064,386.037742,0,460.392692475516
257.317568,204.709889,0,334.607933940346
-257.317568,204.709889,0,334.607933940346
9.997946,493.22343,0,497.205501603898
-9.997946,493.22343,0,497.205501603898
